CURVE,X,Y
253,0,0.1
1197,0,0.13
448,0,0.13
386,0,0.15
1391,0,0.17
968,0,0.18
393,0,0.15
155,0,0.18
1774,0,0.19
567,0,0.19
561,0,0.19
252,0,0.2
149,0,0.18
40,0,0.15
17,0,0.1
656,0,0.21
628,0,0.23
1112,0,0.25
994,0,0.23
485,0,0.23
1389,0,0.26
852,0,0.3
3472,0,0.32
1606,0,0.32
1390,0,0.34
1380,0,0.39
847,0,0.3
655,0,0.28
1218,0,0.39
654,0,0.51
387,0,0.6
238,0,0.39
42,0,0.25
792,0,0.61
394,0,0.6
3471,0,0.68
1605,0,0.68
1375,0,0.61
239,0,0.61
112,0,0.7
41,0,0.6
18,0,0.2
11,0,0.2
2180,0,0.8
999,0,0.77
1843,0,0.8
936,0,0.81
606,0,0.8
2254,0,0.81
1965,0,0.82
562,0,0.81
491,0,0.77
486,0,0.77
903,0,0.82
1893,0,0.85
699,0,0.85
693,0,0.85
462,0,0.87
1192,0,0.87
453,0,1
460,0,1
460,5,1
460,6,0
449,0,0.87
150,0,0.82
88,0,0.7
10,0,0.7
9,0,0.1
2521,0,4
2521,10,9
2521,20,11.8
2521,30,14.2
2521,40,16.4
2521,50,20.3
2521,70,24.7
2521,80,26.8
2521,110,32.8
2521,150,40.4
2521,160,42.2
2521,170,44.1
2521,200,49.5
2521,210,51.2
2521,230,54.8
2521,240,56.5
2521,250,58.3
2521,280,63.4
2521,290,65.2
2521,320,70.3
2521,330,71.9
2521,350,75.3
2530,0,4
2530,10,9
2530,20,11.8
2530,30,14.2
2530,40,16.4
2530,50,18.5
2530,60,22.1
2530,70,26.9
2530,80,29.2
2530,100,33.6
2530,110,35.7
2530,120,37.9
2530,130,39.9
2530,140,42
2530,150,44
2530,160,46.1
2530,170,48.1
2530,180,50
2530,200,54
2530,220,57.8
2530,230,59.8
2530,260,65.5
2530,270,67.3
2530,290,71.1
2530,300,72.9
2530,310,74.8
2530,320,76.6
2530,330,78.5
2530,350,82.1
2547,0,4
2547,10,9
2547,20,11.8
2547,30,14.2
2547,40,16.4
2547,50,18.5
2547,60,20.5
2547,70,22.4
2547,80,26.3
2547,90,31.4
2547,100,33.6
2547,110,35.7
