CURVE,X,Y
720,110,78
720,120,84.2
720,130,89.8
720,140,95.1
706,79,0
706,80,25.2
706,90,28.7
706,100,32.1
706,110,35.1
706,120,37.9
706,130,40.4
706,140,42.8
827,79,0
827,80,57.4
827,90,65.1
827,100,72.5
522,79,0
522,80,56.6
522,90,64.6
522,100,71.9
522,110,78.6
522,120,84.8
522,130,90.5
495,79,0
495,80,20.9
495,90,23.9
495,100,26.6
495,110,29
495,120,31.3
495,130,33.4
852,79,0
852,80,66.7
852,90,75.7
852,100,84.4
721,79,0
721,80,89.6
721,90,102.2
721,100,114.2
721,110,124.8
721,120,134.6
721,130,143.7
721,140,152.2
705,79,0
705,80,63
705,90,71.9
705,100,80.3
705,110,87.7
705,120,94.7
705,130,101.1
705,140,107
520,79,0
520,80,113.3
520,90,129.3
520,100,143.8
520,110,157.2
520,120,169.7
520,130,180.9
415,79,0
415,80,59.2
415,90,67.4
415,100,75.3
415,110,82.4
415,120,88.9
415,130,94.9
415,140,100.4
414,79,0
414,80,9.7
414,90,11.1
414,100,12.4
414,120,14.6
414,130,15.6
414,140,16.5
854,79,0
854,80,200.2
854,90,227.1
854,100,253.1
850,79,0
850,80,133.5
850,90,151.4
850,100,168.7
829,79,0
829,80,275.3
829,90,312.3
829,100,348
723,79,0
723,80,313.8
723,90,357.7
723,100,399.5
723,110,436.6
723,120,471.3
723,130,503.1
723,140,532.5
563,79,0
563,80,226.6
563,90,258.3
563,100,288.6
563,110,315.4
563,120,340.4
563,130,363.3
563,140,384.7
564,79,0
564,80,349.2
564,90,397.9
564,100,444.5
564,110,485.8
564,120,524.3
564,130,559.7
564,140,592.5
523,79,0
523,80,396.4
523,90,452.4
523,100,503.3
523,110,549.9
523,120,593.8
523,130,633.3
496,79,0
496,80,332.4
496,90,379.5
496,100,422
496,110,461.3
496,120,498.2
496,130,531.2
493,79,0
493,80,212.5
493,90,242.5
493,100,269.8
493,110,294.9
493,120,318.3
493,130,339.5
853,79,0
853,80,467.4
853,90,530.1
853,100,590.5
828,79,0
828,80,562.1
828,90,637.7
828,100,710.4
708,79,0
708,80,504.2
708,90,574.9
708,100,642.2
708,110,701.8
708,120,757.4
708,130,808.5
708,140,855.9
707,79,0
707,80,416
707,90,474.3
707,100,529.8
707,110,579
707,120,624.8
707,130,667
707,140,706.1
499,79,0
499,80,581.2
499,90,663.4
499,100,737.9
499,110,806.5
499,120,870.7
499,130,928.6
830,79,0
830,80,917.8
830,90,1041.1
830,100,1159.9
832,79,0
832,101,0
832,102,1
502,79,0
502,130,0
502,131,1
569,79,0
569,140,0
569,141,1
422,79,0
422,140,0
422,141,1
568,79,0
568,100,0
568,101,1
568,140,1
568,141,0
831,79,0
831,100,0
831,101,1
831,102,0
501,79,0
501,100,0
501,101,1
501,130,1
501,131,0
421,79,0
421,100,0
421,101,1
421,140,1
421,141,0
566,79,0
566,80,603.8
566,90,688.3
566,100,768.9
566,110,840.4
566,120,906.9
566,130,968.1
566,140,1024.9
418,79,0
418,80,603.8
418,90,688.3
418,100,768.9
418,110,840.4
418,120,906.9
418,130,968.1
418,140,1024.9
416,79,0
416,80,414.2
416,90,472.1
416,100,527.4
416,110,576.5
416,120,622.1
416,130,664
416,140,703
413,79,0
413,80,118.3
413,90,134.9
413,100,150.7
413,110,164.7
413,120,177.7
413,130,189.7
413,140,200.9
412,79,0
412,80,0.6
412,100,0.8
412,110,0.8
412,130,1
168,89,0
751,89,0
751,90,0.00102
756,89,0
756,90,0.00153
344,89,0
344,90,0.0015
339,89,0
339,90,0.001
610,89,0
610,90,0.002
177,89,0
177,90,0.00195
607,89,0
607,90,0.0022
