BLOCK1,BLOCK2,DISTANCE,LENGTH
-9999,93,0.000,502.226
-9999,94,0.000,458.868
-9999,95,0.000,363.542
-9999,96,0.000,1205.333
-9999,97,0.000,602.221
-9999,98,0.000,1077.242
-9999,99,0.000,689.566
-9999,100,0.000,993.609
-9999,101,0.000,466.986
-9999,102,0.000,940.113
-9999,103,0.000,1646.539
-9999,104,0.000,2034.620
-9999,105,0.000,821.930
-9999,106,0.000,1233.511
-9999,107,0.000,920.234
-9999,108,0.000,753.851
-9999,109,0.000,4588.158
-9999,110,0.000,1052.990
-9999,111,0.000,177.264
-9999,112,0.000,1160.557
-9999,113,0.000,3429.575
-9999,114,31.476,0.000
-9999,115,0.000,2525.159
-9999,116,0.000,521.436
-9999,117,0.000,571.800
-9999,118,0.000,329.965
-9999,119,0.000,567.893
-9999,120,0.000,1496.194
-9999,121,0.000,336.003
-9999,122,0.000,799.341
-9999,123,0.000,527.671
-9999,124,0.000,798.188
-9999,125,0.000,429.113
-9999,126,0.000,1764.370
-9999,127,0.000,233.629
-9999,128,0.000,496.923
-9999,129,0.000,1483.618
-9999,130,0.000,905.692
-9999,131,0.000,262.266
-9999,132,0.000,825.959
-9999,133,0.000,1525.014
-9999,134,0.000,286.166
-9999,135,0.000,515.254
-9999,136,0.000,2646.160
-9999,137,0.000,17.440
-9999,138,0.000,641.814
-9999,139,158.839,0.000
-9999,140,0.000,130.805
-9999,141,0.000,403.258
-9999,142,0.000,1055.068
-9999,143,0.000,101.139
-9999,144,0.000,700.081
-9999,145,0.000,498.933
-9999,146,0.000,1795.417
-9999,147,0.000,261.610
-9999,148,44.391,0.000
-9999,149,0.000,850.161
-9999,150,0.000,55.972
-9999,151,0.000,217.696
-9999,152,0.000,354.542
-9999,153,0.000,1190.142
-9999,154,0.000,600.686
-9999,155,0.000,1300.473
-9999,156,0.000,1995.054
-9999,157,0.000,897.010
-9999,158,0.000,416.373
-9999,159,0.000,1256.978
-9999,160,0.000,340.259
-9999,161,0.000,526.322
-9999,162,0.000,523.795
-9999,163,0.000,661.451
-9999,164,0.000,989.767
-9999,165,0.000,333.643
-9999,166,0.000,328.077
-9999,167,0.000,362.832
-9999,168,0.000,936.436
-9999,169,0.000,530.329
-9999,170,0.000,2695.717
-9999,171,0.000,705.803
-9999,172,0.000,118.298
-9999,173,0.000,1070.986
-9999,174,0.000,130.945
-9999,175,0.000,938.509
-9999,176,0.000,833.479
-9999,177,0.000,442.603
-9999,178,70.163,0.000
-9999,179,0.000,571.743
-9999,180,0.000,191.691
-9999,181,0.000,394.420
-9999,182,0.000,656.792
-9999,183,0.000,285.372
-9999,184,30.215,0.000
-9999,185,0.000,184.128
-9999,186,0.000,1292.434
-9999,187,0.000,569.946
-9999,188,0.000,501.602
-9999,189,0.000,317.762
-9999,190,0.000,516.868
-9999,191,0.000,415.348
-9999,192,0.000,1091.888
-9999,193,0.000,261.911
-9999,194,0.000,1247.590
-9999,195,0.000,2024.741
-9999,196,0.000,1886.413
-9999,197,0.000,714.569
-9999,198,0.000,244.665
-9999,199,0.000,461.327
-9999,200,0.000,943.369
-9999,201,0.000,613.506
-9999,202,0.000,1344.755
