CURVE,X,Y
716,0,0.001
550,0,0.00102
577,0,0.0015
537,0,0.00102
343,0,0.001
988,0,0.00153
754,0,0.00153
542,0,0.00153
276,0,0.0015
630,0,0.00195
418,0,0.002
304,0,0.002
205,0,0.002
116,0,0.00195
98,0,0.00195
969,0,0.00214
596,0,0.0022
689,0,0.00234
482,0,0.0022
202,0,0.0022
114,0,0.00214
1252,0,0.0024
631,0,0.00234
305,0,0.0024
2887,0,0.00909
2420,0,0.00909
1278,0,0.00955
206,0,0.0024
99,0,0.00234
95,0,0.00214
690,0,0.00974
456,0,0.00955
1986,0,0.00974
662,0,0.0098
1408,0,0.01
954,0,0.0098
2394,0,0.0125
717,0,0.0161
607,0,0.01
207,0,0.01
200,0,0.0098
100,0,0.00974
93,0,0.00955
63,0,0.0015
763,0,0.01643
539,0,0.01643
267,0,0.0161
60,0,0.0161
58,0,0.001
551,0,0.02602
752,0,0.02602
597,0,0.036
538,0,0.02602
303,0,0.036
2879,0,0.04546
2422,0,0.04546
844,0,0.05
2481,0,0.05
2395,0,0.0625
1212,0,0.06775
795,0,0.05
203,0,0.036
178,0,0.01761
14,0,0.01761
2619,0,0.07273
2423,0,0.07273
1898,0,0.08889
1369,0,0.06775
859,0,0.08889
878,0,0.09799
629,0,0.09743
317,0,0.09799
237,0,0.09743
1896,0,0.11111
857,0,0.11111
2480,0,0.125
1213,0,0.1355
838,0,0.125
151,0,0.09799
96,0,0.09743
3009,0,0.14699
2618,0,0.14546
2421,0,0.14546
1371,0,0.1355
266,0,0.14699
1897,0,0.17778
858,0,0.17778
877,0,0.19598
628,0,0.19486
316,0,0.19598
236,0,0.19486
2888,0,0.21818
2425,0,0.21818
794,0,0.2
718,0,0.24498
150,0,0.19598
94,0,0.19486
1481,0,0.25
2532,0,0.3
2532,1,0.3
2532,299,89.7
534,0,0.3
534,1,0.3
534,299,89.7
369,0,0.24498
1220,0,0.30488
2397,0,0.3
1845,0,0.3
1845,1,0.3
1845,299,89.7
751,0,0.3
751,1,0.3
751,299,89.7
2403,0,0.3
2575,0,0.3
2575,1,0.3
2575,299,89.7
263,0,0.3
263,1,0.3
263,299,89.7
62,0,0.24498
59,0,0.14699
13,0,0.1355
1480,0,0.35
1370,0,0.30488
595,0,0.3656
302,0,0.3656
753,0,0.37532
726,0,0.37532
540,0,0.37532
201,0,0.3656
30,0,0.47425
177,0,0.47425
652,0,0.5
652,1,0.5
652,299,149.5
170,0,0.5
170,1,0.5
170,299,149.5
12,0,0.47425
11,0,0.30488
10,0,0.06775
2424,0,0.50909
793,0,0.55
417,0,0.572
1168,0,0.57815
552,0,0.57815
541,0,0.57815
492,0,0.572
268,0,0.58794
204,0,0.572
2396,0,0.6125
860,0,0.62222
115,0,0.682
1511,0,0.68593
238,0,0.682
2091,0,0.7
2091,1,0.7
2091,299,209.3
414,0,0.7
414,1,0.7
414,299,209.3
326,0,0.68593
1153,0,0.7
1153,1,0.7
1153,299,209.3
845,0,0.825
839,0,0.825
712,0,0.7
712,1,0.7
712,299,209.3
1864,0,0.7
1864,1,0.7
1864,299,209.3
315,0,0.7
315,1,0.7
315,299,209.3
152,0,0.68593
97,0,0.682
61,0,0.58794
21,0,1
28,0,1
28,5,1
28,6,0
1301,0,0.5
1301,1,0.5
1301,299,149.5
481,0,0.5
481,1,0.5
481,299,149.5
3,0,0.5
3,1,0.5
3,299,149.5
358,79,0
1656,79,0
1656,80,0.001
590,79,0
590,80,0.001
775,79,0
775,80,0.00102
592,79,0
592,80,0.0015
570,79,0
570,80,0.00102
2090,79,0
2090,80,0.0015
