TRACK,LABEL,METHOD,CURVE
1,feature.Area.og1.CWHvm_DR_HW_M,,0
1,feature.Area.og1.total,,0
1,feature.Area.og2.CWHvm_DR_HW_M,,1
1,feature.Area.og2.total,,1
1,feature.Area.unmanaged,,2
1,feature.Height.unmanaged.CWHvm_DR_HW_M,,3
1,feature.QMD.unmanaged.CWHvm_DR_HW_M,,4
1,feature.Seral.CWHvm_DR_HW_M.immature,,5
1,feature.Seral.CWHvm_DR_HW_M.mature,,6
1,feature.Seral.CWHvm_DR_HW_M.overmature,,7
1,feature.Seral.CWHvm_DR_HW_M.regenerating,,8
1,feature.Seral.CWHvm_DR_HW_M.young,,9
1,feature.Seral.immature,,5
1,feature.Seral.mature,,6
1,feature.Seral.overmature,,7
1,feature.Seral.regenerating,,8
1,feature.Seral.young,,9
1,feature.SpeciesProp.unmanaged.CW,,10
1,feature.SpeciesProp.unmanaged.DR,,11
1,feature.SpeciesProp.unmanaged.FDC,,12
1,feature.SpeciesProp.unmanaged.HW,,13
1,feature.SpeciesProp.unmanaged.SS,,14
1,feature.Yield.unmanaged.CW,,15
1,feature.Yield.unmanaged.DR,,16
1,feature.Yield.unmanaged.FDC,,17
1,feature.Yield.unmanaged.HW,,18
1,feature.Yield.unmanaged.SS,,19
1,feature.Yield.unmanaged.Total,,20
2,feature.Area.managed,,21
2,feature.Area.og1.CWHvm_DR_HW_M,,22
2,feature.Area.og1.total,,22
2,feature.Area.og2.CWHvm_DR_HW_M,,23
2,feature.Area.og2.total,,23
2,feature.Height.managed.CWHvm_DR_HW_M,,24
2,feature.QMD.managed.CWHvm_DR_HW_M,,4
2,feature.Seral.CWHvm_DR_HW_M.immature,,25
2,feature.Seral.CWHvm_DR_HW_M.mature,,26
2,feature.Seral.CWHvm_DR_HW_M.overmature,,27
2,feature.Seral.CWHvm_DR_HW_M.regenerating,,28
2,feature.Seral.CWHvm_DR_HW_M.young,,29
2,feature.Seral.immature,,25
2,feature.Seral.mature,,26
2,feature.Seral.overmature,,27
2,feature.Seral.regenerating,,28
2,feature.Seral.young,,29
2,feature.SpeciesProp.managed.CW,,30
2,feature.SpeciesProp.managed.DR,,31
2,feature.SpeciesProp.managed.FDC,,32
2,feature.SpeciesProp.managed.HW,,33
2,feature.SpeciesProp.managed.SS,,14
2,feature.Yield.managed.CW,,34
2,feature.Yield.managed.DR,,35
2,feature.Yield.managed.FDC,,36
2,feature.Yield.managed.HW,,37
2,feature.Yield.managed.SS,,38
2,feature.Yield.managed.Total,,39
3,feature.Area.managed,,2
3,feature.Area.og1.CWHvm_FDC_HW_H,,56
3,feature.Area.og1.total,,56
3,feature.Area.og2.CWHvm_FDC_HW_H,,1
3,feature.Area.og2.total,,1
3,feature.Height.managed.CWHvm_FDC_HW_H,,57
3,feature.QMD.managed.CWHvm_FDC_HW_H,,4
3,feature.Seral.CWHvm_FDC_HW_H.immature,,58
3,feature.Seral.CWHvm_FDC_HW_H.mature,,59
3,feature.Seral.CWHvm_FDC_HW_H.overmature,,60
3,feature.Seral.CWHvm_FDC_HW_H.regenerating,,8
3,feature.Seral.CWHvm_FDC_HW_H.young,,9
3,feature.Seral.immature,,58
3,feature.Seral.mature,,59
3,feature.Seral.overmature,,60
3,feature.Seral.regenerating,,8
3,feature.Seral.young,,9
3,feature.SpeciesProp.managed.BA,,61
3,feature.SpeciesProp.managed.CW,,62
3,feature.SpeciesProp.managed.DR,,63
3,feature.SpeciesProp.managed.FDC,,64
3,feature.SpeciesProp.managed.HW,,65
3,feature.SpeciesProp.managed.PL,,66
3,feature.SpeciesProp.managed.SS,,66
3,feature.Yield.managed.BA,,67
3,feature.Yield.managed.CW,,68
3,feature.Yield.managed.DR,,69
3,feature.Yield.managed.FDC,,70
3,feature.Yield.managed.HW,,71
3,feature.Yield.managed.PL,,72
3,feature.Yield.managed.SS,,72
3,feature.Yield.managed.Total,,73
4,feature.Area.og1.CWHvm_HW_CW_M,,92
4,feature.Area.og1.total,,92
4,feature.Area.og2.CWHvm_HW_CW_M,,1
4,feature.Area.og2.total,,1
4,feature.Area.unmanaged,,2
4,feature.Height.unmanaged.CWHvm_HW_CW_M,,3
4,feature.QMD.unmanaged.CWHvm_HW_CW_M,,4
4,feature.Seral.CWHvm_HW_CW_M.immature,,93
4,feature.Seral.CWHvm_HW_CW_M.mature,,94
4,feature.Seral.CWHvm_HW_CW_M.overmature,,95
4,feature.Seral.CWHvm_HW_CW_M.regenerating,,8
4,feature.Seral.CWHvm_HW_CW_M.young,,9
4,feature.Seral.immature,,93
4,feature.Seral.mature,,94
4,feature.Seral.overmature,,95
4,feature.Seral.regenerating,,8
4,feature.Seral.young,,9
4,feature.SpeciesProp.unmanaged.BA,,96
4,feature.SpeciesProp.unmanaged.CW,,97
4,feature.SpeciesProp.unmanaged.DR,,98
4,feature.SpeciesProp.unmanaged.FDC,,99
4,feature.SpeciesProp.unmanaged.HW,,100
4,feature.SpeciesProp.unmanaged.PLC,,101
4,feature.SpeciesProp.unmanaged.SS,,102
4,feature.SpeciesProp.unmanaged.YC,,103
4,feature.Yield.unmanaged.BA,,104
4,feature.Yield.unmanaged.CW,,105
4,feature.Yield.unmanaged.DR,,106
4,feature.Yield.unmanaged.FDC,,107
4,feature.Yield.unmanaged.HW,,108
4,feature.Yield.unmanaged.PLC,,109
4,feature.Yield.unmanaged.SS,,110
4,feature.Yield.unmanaged.Total,,111
4,feature.Yield.unmanaged.YC,,112
5,feature.Area.managed,,2
5,feature.Area.og1.CWHvm_HW_CW_M,,92
5,feature.Area.og1.total,,92
5,feature.Area.og2.CWHvm_HW_CW_M,,1
5,feature.Area.og2.total,,1
5,feature.Height.managed.CWHvm_HW_CW_M,,24
5,feature.QMD.managed.CWHvm_HW_CW_M,,4
5,feature.Seral.CWHvm_HW_CW_M.immature,,93
5,feature.Seral.CWHvm_HW_CW_M.mature,,94
5,feature.Seral.CWHvm_HW_CW_M.overmature,,95
5,feature.Seral.CWHvm_HW_CW_M.regenerating,,8
5,feature.Seral.CWHvm_HW_CW_M.young,,9
5,feature.Seral.immature,,93
5,feature.Seral.mature,,94
5,feature.Seral.overmature,,95
5,feature.Seral.regenerating,,8
5,feature.Seral.young,,9
5,feature.SpeciesProp.managed.BA,,96
5,feature.SpeciesProp.managed.CW,,97
5,feature.SpeciesProp.managed.DR,,98
5,feature.SpeciesProp.managed.FDC,,99
5,feature.SpeciesProp.managed.HW,,100
5,feature.SpeciesProp.managed.PLC,,101
5,feature.SpeciesProp.managed.SS,,102
5,feature.SpeciesProp.managed.YC,,113
5,feature.Yield.managed.BA,,114
5,feature.Yield.managed.CW,,115
5,feature.Yield.managed.DR,,116
5,feature.Yield.managed.FDC,,117
5,feature.Yield.managed.HW,,118
5,feature.Yield.managed.PLC,,119
5,feature.Yield.managed.SS,,120
5,feature.Yield.managed.Total,,121
5,feature.Yield.managed.YC,,122
6,feature.Area.managed,,2
6,feature.Area.og1.CWHvm_HW_FDC_H,,145
6,feature.Area.og1.total,,145
6,feature.Area.og2.CWHvm_HW_FDC_H,,1
6,feature.Area.og2.total,,1
6,feature.Height.managed.CWHvm_HW_FDC_H,,146
6,feature.QMD.managed.CWHvm_HW_FDC_H,,4
6,feature.Seral.CWHvm_HW_FDC_H.immature,,58
6,feature.Seral.CWHvm_HW_FDC_H.mature,,59
6,feature.Seral.CWHvm_HW_FDC_H.overmature,,60
6,feature.Seral.CWHvm_HW_FDC_H.regenerating,,8
6,feature.Seral.CWHvm_HW_FDC_H.young,,9
6,feature.Seral.immature,,58
6,feature.Seral.mature,,59
6,feature.Seral.overmature,,60
6,feature.Seral.regenerating,,8
6,feature.Seral.young,,9
6,feature.SpeciesProp.managed.BA,,61
6,feature.SpeciesProp.managed.CW,,147
6,feature.SpeciesProp.managed.DR,,63
6,feature.SpeciesProp.managed.FDC,,148
6,feature.SpeciesProp.managed.HW,,149
6,feature.SpeciesProp.managed.PL,,66
6,feature.SpeciesProp.managed.SS,,66
6,feature.Yield.managed.BA,,150
6,feature.Yield.managed.CW,,151
6,feature.Yield.managed.DR,,152
6,feature.Yield.managed.FDC,,153
6,feature.Yield.managed.HW,,154
6,feature.Yield.managed.PL,,155
6,feature.Yield.managed.SS,,155
6,feature.Yield.managed.Total,,156
7,feature.Area.og1.CWHvm_DR_HW_M,,0
7,feature.Area.og1.total,,0
7,feature.Area.og2.CWHvm_DR_HW_M,,1
7,feature.Area.og2.total,,1
7,feature.Area.unmanaged,,2
7,feature.Height.unmanaged.CWHvm_DR_HW_M,,3
7,feature.QMD.unmanaged.CWHvm_DR_HW_M,,4
