CURVE,X,Y
659,120,37.9
659,130,40.4
659,140,42.8
781,79,0
781,80,57.4
781,90,65.1
781,100,72.5
474,79,0
474,80,56.6
474,90,64.6
474,100,71.9
474,110,78.6
474,120,84.8
474,130,90.5
447,79,0
447,80,20.9
447,90,23.9
447,100,26.6
447,110,29
447,120,31.3
447,130,33.4
806,79,0
806,80,66.7
806,90,75.7
806,100,84.4
674,79,0
674,80,89.6
674,90,102.2
674,100,114.2
674,110,124.8
674,120,134.6
674,130,143.7
674,140,152.2
658,79,0
658,80,63
658,90,71.9
658,100,80.3
658,110,87.7
658,120,94.7
658,130,101.1
658,140,107
472,79,0
472,80,113.3
472,90,129.3
472,100,143.8
472,110,157.2
472,120,169.7
472,130,180.9
381,79,0
381,80,59.2
381,90,67.4
381,100,75.3
381,110,82.4
381,120,88.9
381,130,94.9
381,140,100.4
380,79,0
380,80,9.7
380,90,11.1
380,100,12.4
380,120,14.6
380,130,15.6
380,140,16.5
808,79,0
808,80,200.2
808,90,227.1
808,100,253.1
804,79,0
804,80,133.5
804,90,151.4
804,100,168.7
783,79,0
783,80,275.3
783,90,312.3
783,100,348
676,79,0
676,80,313.8
676,90,357.7
676,100,399.5
676,110,436.6
676,120,471.3
676,130,503.1
676,140,532.5
515,79,0
515,80,226.6
515,90,258.3
515,100,288.6
515,110,315.4
515,120,340.4
515,130,363.3
515,140,384.7
516,79,0
516,80,349.2
516,90,397.9
516,100,444.5
516,110,485.8
516,120,524.3
516,130,559.7
516,140,592.5
475,79,0
475,80,396.4
475,90,452.4
475,100,503.3
475,110,549.9
475,120,593.8
475,130,633.3
448,79,0
448,80,332.4
448,90,379.5
448,100,422
448,110,461.3
448,120,498.2
448,130,531.2
445,79,0
445,80,212.5
445,90,242.5
445,100,269.8
445,110,294.9
445,120,318.3
445,130,339.5
807,79,0
807,80,467.4
807,90,530.1
807,100,590.5
782,79,0
782,80,562.1
782,90,637.7
782,100,710.4
661,79,0
661,80,504.2
661,90,574.9
661,100,642.2
661,110,701.8
661,120,757.4
661,130,808.5
661,140,855.9
660,79,0
660,80,416
660,90,474.3
660,100,529.8
660,110,579
660,120,624.8
660,130,667
660,140,706.1
451,79,0
451,80,581.2
451,90,663.4
451,100,737.9
451,110,806.5
451,120,870.7
451,130,928.6
784,79,0
784,80,917.8
784,90,1041.1
784,100,1159.9
786,79,0
786,101,0
786,102,1
454,79,0
454,130,0
454,131,1
521,79,0
521,140,0
521,141,1
388,79,0
388,140,0
388,141,1
520,79,0
520,100,0
520,101,1
520,140,1
520,141,0
785,79,0
785,100,0
785,101,1
785,102,0
453,79,0
453,100,0
453,101,1
453,130,1
453,131,0
387,79,0
387,100,0
387,101,1
387,140,1
387,141,0
518,79,0
518,80,603.8
518,90,688.3
518,100,768.9
518,110,840.4
518,120,906.9
518,130,968.1
518,140,1024.9
384,79,0
384,80,603.8
384,90,688.3
384,100,768.9
384,110,840.4
384,120,906.9
384,130,968.1
384,140,1024.9
382,79,0
382,80,414.2
382,90,472.1
382,100,527.4
382,110,576.5
382,120,622.1
382,130,664
382,140,703
379,79,0
379,80,118.3
379,90,134.9
379,100,150.7
379,110,164.7
379,120,177.7
379,130,189.7
